,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,target,qtr,age_rank,duration_rank,pday_rank,previous_rank,poutcome_new,emp.var.rate_rank,cons.price.idx_rank,euribor3m_rank,nr.employed_rank,y_pred_p,p_rank,y_pred_p_dtree,p_rank_dtree
10,25,services,single,Basic,services,yes,no,cellular,jul,thu,301,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,no,0,Q3,1,4,1,1,0,4,4,4,4,0.052832441629563826,5,0.052832441629563826,5
11,36,self-employed,single,Basic,self-employed,no,no,cellular,jul,thu,148,1,999,0,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no,0,Q3,3,2,1,1,0,4,4,5,4,0.04791956724666321,4,0.04791956724666321,4
12,36,admin.,married,high.school,admin.,no,no,telephone,may,wed,97,2,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,Q2,3,2,1,1,0,3,3,3,2,0.039812465042464475,3,0.039812465042464475,3
13,47,blue-collar,married,Basic,blue-collar,yes,no,telephone,jun,thu,211,2,999,0,nonexistent,1.4,94.465,-41.8,4.958,5228.1,no,0,Q2,4,3,1,1,0,4,4,4,4,0.025708772903488428,1,0.025708772903488428,1
14,29,admin.,single,high.school,admin.,no,no,cellular,may,fri,553,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,0,Q2,1,5,1,1,0,1,1,2,1,0.14679563548969718,9,0.14679563548969718,9
15,27,services,single,university.degree,services,no,no,cellular,jul,wed,698,2,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no,0,Q3,1,5,1,1,0,4,4,5,4,0.05587574334178249,5,0.05587574334178249,5
16,44,admin.,divorced,university.degree,admin.,no,no,cellular,jul,wed,191,6,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,0,Q3,4,3,1,1,0,4,4,4,4,0.04259993028018088,3,0.04259993028018088,3
17,46,admin.,divorced,university.degree,admin.,yes,no,telephone,jul,mon,59,4,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,Q3,4,1,1,1,0,4,4,4,4,0.037881903523599054,3,0.037881903523599054,3
18,45,entrepreneur,married,university.degree,entrepreneur,yes,yes,cellular,aug,mon,38,2,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,0,Q3,4,1,1,1,0,4,4,5,4,0.08092649026971883,7,0.08092649026971883,7
19,50,blue-collar,married,Basic,blue-collar,no,yes,cellular,jul,tue,849,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes,1,Q3,4,5,1,1,0,4,4,4,4,0.04911049563849299,4,0.04911049563849299,4
20,55,services,married,Basic,services,yes,no,cellular,jul,tue,326,6,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,Q3,5,4,1,1,0,4,4,4,4,0.030719442314288956,2,0.030719442314288956,2
21,39,technician,divorced,high.school,technician,no,no,cellular,mar,mon,222,1,12,2,success,-1.8,93.369,-34.8,0.639,5008.7,yes,1,Q1,3,3,1,5,1,1,1,1,1,0.8189323391201577,10,0.8189323391201577,10
22,29,technician,single,university.degree,technician,yes,yes,cellular,aug,wed,626,3,999,0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,no,0,Q3,1,5,1,1,0,4,4,5,4,0.08323507217522053,7,0.08323507217522053,7
23,40,management,married,high.school,management,no,yes,cellular,aug,wed,119,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,no,0,Q3,3,2,1,1,0,4,4,5,4,0.06541057152650981,6,0.06541057152650981,6
24,44,technician,married,professional.course,technician,yes,no,telephone,may,fri,388,7,999,0,nonexistent,1.1,93.994,-36.4,4.864,5191.0,no,0,Q2,4,5,1,1,0,3,3,3,2,0.029554632926816003,2,0.029554632926816003,2
25,38,technician,married,professional.course,technician,yes,no,cellular,aug,mon,479,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes,1,Q3,3,5,1,1,0,4,4,5,4,0.10168916648418294,7,0.10168916648418294,7
26,36,technician,divorced,professional.course,technician,no,no,telephone,may,wed,446,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,Q2,3,5,1,1,0,3,3,3,2,0.05673669244395083,5,0.05673669244395083,5
27,28,blue-collar,married,Basic,blue-collar,no,no,cellular,may,mon,68,2,999,1,failure,-1.8,92.893,-46.2,1.299,5099.1,no,0,Q2,1,1,1,5,0,1,1,1,1,0.11028889231595121,8,0.11028889231595121,8
28,47,admin.,single,unknown,admin.,no,no,telephone,may,thu,127,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no,0,Q2,4,2,1,1,0,3,3,3,2,0.044497644746860625,4,0.044497644746860625,4
29,34,admin.,married,university.degree,admin.,no,no,cellular,aug,tue,109,1,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,Q3,2,2,1,1,0,4,4,5,4,0.09682059487533905,7,0.09682059487533905,7
30,38,technician,married,university.degree,technician,yes,yes,cellular,mar,tue,113,1,999,1,failure,-1.8,92.843,-50.0,1.687,5099.1,no,0,Q1,3,2,1,5,0,1,1,2,1,0.16303106580222074,9,0.16303106580222074,9
31,33,services,married,high.school,services,yes,no,telephone,jun,mon,393,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,0,Q2,2,5,1,1,0,4,4,4,4,0.025722563516129678,1,0.025722563516129678,1
32,51,technician,single,university.degree,technician,no,no,cellular,jun,fri,151,2,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,no,0,Q2,5,3,1,1,0,1,1,1,1,0.18401978294416926,9,0.18401978294416926,9
33,30,blue-collar,single,Basic,blue-collar,yes,no,telephone,jun,tue,256,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,Q2,1,4,1,1,0,4,4,3,4,0.0305568971204639,2,0.0305568971204639,2
34,48,technician,married,university.degree,technician,no,no,cellular,aug,thu,42,7,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,0,Q3,4,1,1,1,0,4,4,4,4,0.05490207897405626,5,0.05490207897405626,5
35,28,blue-collar,single,Basic,blue-collar,yes,no,telephone,jun,wed,525,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,Q2,1,5,1,1,0,4,4,3,4,0.0305568971204639,2,0.0305568971204639,2
36,36,blue-collar,married,Basic,blue-collar,yes,no,telephone,may,wed,57,1,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,no,0,Q2,3,1,1,1,0,3,3,3,2,0.036278662480569976,2,0.036278662480569976,2
37,46,management,divorced,high.school,management,no,no,cellular,nov,wed,499,1,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no,0,Q4,4,5,1,1,0,2,2,2,3,0.05461347476113687,5,0.05461347476113687,5
38,31,technician,single,unknown,technician,yes,no,cellular,may,wed,84,1,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,no,0,Q2,1,1,1,5,0,1,1,2,1,0.15129945791068256,9,0.15129945791068256,9
39,20,student,single,unknown,student,no,no,cellular,oct,mon,137,3,999,3,failure,-1.1,94.601,-49.5,0.977,4963.6,no,0,Q4,1,2,1,5,0,2,2,1,1,0.1824792623966389,9,0.1824792623966389,9
40,35,services,married,high.school,services,yes,no,cellular,may,tue,31,1,999,0,nonexistent,-1.8,92.893,-46.2,1.344,5099.1,no,0,Q2,2,1,1,1,0,1,1,2,1,0.13828753990204612,8,0.13828753990204612,8
41,38,blue-collar,married,Basic,blue-collar,unknown,unknown,telephone,jun,fri,430,1,999,0,nonexistent,1.4,94.465,-41.8,4.967,5228.1,no,0,Q2,3,5,1,1,0,4,4,5,4,0.028508836995977064,1,0.028508836995977064,1
42,76,retired,married,university.degree,retired,no,no,cellular,aug,thu,126,1,999,1,failure,-1.7,94.027,-38.3,0.899,4991.6,no,0,Q3,5,2,1,5,0,2,2,1,1,0.39168899859094436,10,0.39168899859094436,10
43,45,entrepreneur,divorced,professional.course,entrepreneur,yes,no,cellular,jul,tue,211,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,Q3,4,3,1,1,0,4,4,4,4,0.053844392489782664,5,0.053844392489782664,5
44,32,housemaid,married,Basic,housemaid,yes,yes,cellular,may,fri,340,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,0,Q2,2,4,1,1,0,1,1,2,1,0.16877916823154782,9,0.16877916823154782,9
45,39,management,single,university.degree,management,no,no,cellular,may,thu,412,2,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,0,Q2,3,5,1,1,0,1,1,2,1,0.14289074708941948,9,0.14289074708941948,9
46,32,admin.,married,university.degree,admin.,no,no,telephone,nov,thu,132,1,999,0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,no,0,Q4,2,2,1,1,0,2,2,3,3,0.043199488113975684,3,0.043199488113975684,3
47,29,admin.,single,Basic,admin.,no,no,cellular,may,mon,79,2,999,0,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no,0,Q2,1,1,1,1,0,1,1,1,1,0.15137474129687953,9,0.15137474129687953,9
48,44,services,married,professional.course,services,no,no,cellular,aug,mon,341,2,999,0,nonexistent,1.4,93.444,-36.1,4.97,5228.1,no,0,Q3,4,4,1,1,0,4,4,5,4,0.07468467803110845,6,0.07468467803110845,6
49,32,services,married,high.school,services,no,yes,cellular,jul,fri,157,3,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,no,0,Q3,2,3,1,1,0,4,4,4,4,0.04160454590086851,3,0.04160454590086851,3
50,56,retired,married,university.degree,retired,yes,no,cellular,jun,wed,252,1,999,2,failure,-2.9,92.963,-40.8,1.26,5076.2,no,0,Q2,5,4,1,5,0,1,1,1,1,0.1635943853720466,9,0.1635943853720466,9
51,33,blue-collar,married,Basic,blue-collar,yes,no,cellular,may,thu,263,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,0,Q2,2,4,1,1,0,1,1,2,1,0.13397063027656184,8,0.13397063027656184,8
52,39,management,married,high.school,management,no,no,cellular,aug,fri,215,3,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,0,Q3,3,3,1,1,0,4,4,5,4,0.05289354921473101,5,0.05289354921473101,5
53,24,technician,married,university.degree,technician,yes,yes,cellular,sep,tue,89,2,3,1,success,-3.4,92.379,-29.8,0.77,5017.5,yes,1,Q3,1,1,1,5,1,1,1,1,1,0.7972850633573983,10,0.7972850633573983,10
54,33,admin.,single,university.degree,admin.,yes,no,cellular,may,thu,143,1,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,no,0,Q2,2,2,1,1,0,1,1,2,1,0.189143292218451,9,0.189143292218451,9
55,58,entrepreneur,divorced,university.degree,entrepreneur,no,no,telephone,jun,thu,40,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,no,0,Q2,5,1,1,1,0,4,4,4,4,0.03757262024756985,3,0.03757262024756985,3
56,29,admin.,single,university.degree,admin.,yes,no,telephone,jun,fri,10,27,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,Q2,1,1,1,1,0,4,4,4,4,0.002381790447861109,1,0.002381790447861109,1
57,31,admin.,married,university.degree,admin.,yes,no,cellular,aug,thu,113,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,Q3,1,2,1,1,0,4,4,5,4,0.09675992008477632,7,0.09675992008477632,7
58,27,admin.,married,university.degree,admin.,no,no,telephone,may,wed,191,5,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,Q2,1,3,1,1,0,3,3,3,2,0.034975764393840286,2,0.034975764393840286,2
59,60,admin.,divorced,professional.course,admin.,yes,no,cellular,sep,wed,481,1,999,1,failure,-1.1,94.199,-37.5,0.886,4963.6,yes,1,Q3,5,5,1,5,0,2,2,1,1,0.4314244439841514,10,0.4314244439841514,10
60,55,entrepreneur,married,professional.course,entrepreneur,yes,yes,cellular,oct,mon,233,1,999,2,failure,-3.4,92.431,-26.9,0.739,5017.5,no,0,Q4,5,4,1,5,0,1,1,1,1,0.3536219665738212,10,0.3536219665738212,10
61,37,blue-collar,married,Basic,blue-collar,yes,no,cellular,may,wed,204,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no,0,Q2,3,3,1,1,0,1,1,2,1,0.12092891630282161,8,0.12092891630282161,8
62,52,admin.,married,unknown,admin.,yes,no,telephone,apr,wed,403,1,6,1,success,-1.8,93.749,-34.6,0.654,5008.7,yes,1,Q2,5,5,1,5,1,1,1,1,1,0.7170439113487577,10,0.7170439113487577,10
63,46,services,married,high.school,services,yes,no,cellular,apr,mon,180,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,0,Q2,4,3,1,1,0,1,1,2,1,0.128999312255206,8,0.128999312255206,8
64,42,blue-collar,divorced,Basic,blue-collar,yes,no,cellular,may,wed,16,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,0,Q2,4,1,1,1,0,1,1,1,1,0.1248941317271334,8,0.1248941317271334,8
65,35,admin.,single,university.degree,admin.,yes,no,cellular,jul,mon,447,3,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,0,Q3,2,5,1,1,0,4,4,4,4,0.058583535661610606,5,0.058583535661610606,5
66,49,technician,divorced,unknown,technician,yes,yes,cellular,oct,thu,81,1,999,0,nonexistent,-3.4,92.431,-26.9,0.754,5017.5,no,0,Q4,4,1,1,1,0,1,1,1,1,0.40044350140985935,10,0.40044350140985935,10
67,29,services,divorced,high.school,services,no,yes,telephone,jun,mon,361,3,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no,0,Q2,1,4,1,1,0,4,4,4,4,0.025722563516129678,1,0.025722563516129678,1
68,32,blue-collar,married,Basic,blue-collar,no,no,cellular,nov,mon,1091,2,5,1,success,-0.1,93.2,-42.0,4.191,5195.8,yes,1,Q4,2,5,1,5,1,2,2,3,3,0.23401836921763852,9,0.23401836921763852,9
69,37,self-employed,married,university.degree,self-employed,no,no,cellular,may,fri,395,1,999,1,failure,-1.8,92.893,-46.2,1.313,5099.1,no,0,Q2,3,5,1,5,0,1,1,2,1,0.1381493798783008,8,0.1381493798783008,8
70,39,technician,single,professional.course,technician,no,no,telephone,jun,mon,432,4,999,0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,yes,1,Q2,3,5,1,1,0,4,4,4,4,0.034597008680752696,2,0.034597008680752696,2
71,51,services,married,high.school,services,yes,no,telephone,jul,mon,596,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,yes,1,Q3,5,5,1,1,0,4,4,4,4,0.029760566590370643,2,0.029760566590370643,2
72,28,admin.,single,high.school,admin.,yes,no,cellular,may,tue,59,3,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,no,0,Q2,1,1,1,1,0,1,1,1,1,0.13503032930640005,8,0.13503032930640005,8
73,34,management,married,university.degree,management,yes,no,cellular,may,wed,77,4,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,no,0,Q2,2,1,1,1,0,1,1,1,1,0.12083234646172746,8,0.12083234646172746,8
74,31,technician,single,high.school,technician,yes,yes,cellular,aug,tue,768,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes,1,Q3,1,5,1,1,0,4,4,5,4,0.08509459255691358,7,0.08509459255691358,7
75,31,admin.,married,university.degree,admin.,yes,no,cellular,aug,thu,96,5,999,0,nonexistent,1.4,93.444,-36.1,4.962,5228.1,no,0,Q3,1,2,1,1,0,4,4,4,4,0.06402035199889745,6,0.06402035199889745,6
76,31,admin.,single,university.degree,admin.,yes,no,telephone,jun,wed,357,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,Q2,1,4,1,1,0,4,4,3,4,0.040741009250142825,3,0.040741009250142825,3
77,38,self-employed,single,university.degree,self-employed,no,no,telephone,may,thu,459,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,0,Q2,3,5,1,1,0,3,3,3,2,0.03786800683952374,3,0.03786800683952374,3
78,33,unemployed,married,Basic,unemployed,no,no,telephone,jun,fri,11,6,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,Q2,2,1,1,1,0,4,4,4,4,0.021135257133320325,1,0.021135257133320325,1
79,32,technician,single,university.degree,technician,no,no,cellular,aug,tue,264,12,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,no,0,Q3,2,4,1,1,0,4,4,5,4,0.031952055918245584,2,0.031952055918245584,2
80,54,technician,married,professional.course,technician,yes,no,cellular,apr,mon,698,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no,0,Q2,5,5,1,1,0,1,1,2,1,0.18365467432781593,9,0.18365467432781593,9
81,41,admin.,divorced,high.school,admin.,yes,no,telephone,jun,tue,204,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,0,Q2,3,3,1,1,0,4,4,4,4,0.03143694105462877,2,0.03143694105462877,2
82,59,services,married,Basic,services,no,no,cellular,aug,thu,93,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no,0,Q3,5,2,1,1,0,4,4,5,4,0.037546023851066465,3,0.037546023851066465,3
83,57,retired,married,university.degree,retired,yes,no,cellular,apr,thu,374,1,2,1,success,-1.8,93.075,-47.1,1.365,5099.1,no,0,Q2,5,5,1,5,1,1,1,2,1,0.5883480329238164,10,0.5883480329238164,10
84,38,entrepreneur,divorced,university.degree,entrepreneur,yes,no,cellular,nov,thu,252,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,no,0,Q4,3,4,1,1,0,2,2,2,3,0.0773670602920674,6,0.0773670602920674,6
85,46,admin.,married,university.degree,admin.,yes,no,telephone,may,tue,158,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,Q2,4,3,1,1,0,3,3,3,2,0.05378513343286444,5,0.05378513343286444,5
86,37,unemployed,single,university.degree,unemployed,yes,yes,cellular,nov,tue,95,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,0,Q4,3,2,1,1,0,2,2,2,3,0.08057140862747915,7,0.08057140862747915,7
87,47,services,single,Basic,services,unknown,unknown,telephone,jun,thu,835,3,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,yes,1,Q2,4,5,1,1,0,4,4,4,4,0.02473297213932396,1,0.02473297213932396,1
88,45,admin.,single,university.degree,admin.,no,no,cellular,aug,thu,505,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,yes,1,Q3,4,5,1,1,0,4,4,5,4,0.09675992008477632,7,0.09675992008477632,7
89,36,blue-collar,married,Basic,blue-collar,yes,no,telephone,jul,wed,16,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no,0,Q3,3,1,1,1,0,4,4,4,4,0.035302646478704264,2,0.035302646478704264,2
90,40,unemployed,single,high.school,unemployed,yes,no,cellular,jul,mon,300,5,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,no,0,Q3,3,4,1,1,0,4,4,4,4,0.0395858912047574,3,0.0395858912047574,3
91,38,blue-collar,married,Basic,blue-collar,no,no,cellular,nov,tue,180,2,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no,0,Q4,3,3,1,5,0,2,2,2,3,0.04307083515384635,3,0.04307083515384635,3
92,44,blue-collar,married,high.school,blue-collar,no,no,telephone,jun,tue,390,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,0,Q2,4,5,1,1,0,4,4,4,4,0.02500535495035037,1,0.02500535495035037,1
93,25,self-employed,married,university.degree,self-employed,yes,no,telephone,may,fri,274,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,Q2,1,4,1,1,0,3,3,3,2,0.037817465521110497,3,0.037817465521110497,3
94,30,blue-collar,single,Basic,blue-collar,yes,no,telephone,jul,tue,135,5,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,Q3,1,2,1,1,0,4,4,4,4,0.02281656200793931,1,0.02281656200793931,1
95,43,management,married,professional.course,management,no,no,cellular,nov,tue,257,2,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,no,0,Q4,4,4,1,1,0,2,2,2,3,0.057814897122021244,5,0.057814897122021244,5
96,58,retired,married,Basic,retired,no,no,telephone,may,mon,268,3,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0,Q2,5,4,1,1,0,3,3,3,2,0.03880576640495722,3,0.03880576640495722,3
97,31,technician,married,professional.course,technician,yes,no,telephone,may,wed,157,6,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,no,0,Q2,1,3,1,1,0,3,3,3,2,0.033135411392517876,2,0.033135411392517876,2
98,53,management,married,university.degree,management,no,no,cellular,jul,tue,477,2,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,Q3,5,5,1,1,0,4,4,4,4,0.052724389807379986,5,0.052724389807379986,5
99,52,admin.,married,unknown,admin.,no,no,cellular,aug,tue,91,1,999,0,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no,0,Q3,5,2,1,1,0,4,4,5,4,0.0806329577402707,7,0.0806329577402707,7
100,37,management,married,university.degree,management,no,yes,cellular,apr,fri,76,1,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,no,0,Q2,3,1,1,5,0,1,1,2,1,0.1301708440474463,8,0.1301708440474463,8
101,58,admin.,married,high.school,admin.,yes,no,cellular,jul,tue,103,1,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no,0,Q3,5,2,1,1,0,4,4,4,4,0.05985017405305456,5,0.05985017405305456,5
102,37,services,married,high.school,services,yes,yes,cellular,may,thu,436,3,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,no,0,Q2,3,5,1,1,0,1,1,1,1,0.11915425843856546,8,0.11915425843856546,8
103,38,admin.,single,unknown,admin.,yes,no,cellular,may,fri,191,1,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,0,Q2,3,3,1,1,0,1,1,2,1,0.1620415028250576,9,0.1620415028250576,9
104,33,services,single,Basic,services,yes,no,cellular,apr,thu,483,2,999,0,nonexistent,-1.8,93.075,-47.1,1.41,5099.1,no,0,Q2,2,5,1,1,0,1,1,2,1,0.11926274310553067,8,0.11926274310553067,8
105,45,services,married,high.school,services,yes,no,cellular,may,fri,250,1,999,0,nonexistent,-1.8,92.893,-46.2,1.25,5099.1,no,0,Q2,4,4,1,1,0,1,1,1,1,0.14624684282787326,9,0.14624684282787326,9
106,44,entrepreneur,married,professional.course,entrepreneur,no,no,telephone,may,mon,259,1,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,no,0,Q2,4,4,1,1,0,3,3,3,2,0.04941378479448773,4,0.04941378479448773,4
107,38,blue-collar,married,Basic,blue-collar,yes,no,telephone,jul,thu,389,2,999,0,nonexistent,1.4,93.918,-42.7,4.966,5228.1,no,0,Q3,3,5,1,1,0,4,4,5,4,0.03158008787776348,2,0.03158008787776348,2
108,34,blue-collar,married,Basic,blue-collar,no,no,telephone,jun,tue,7,1,999,0,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no,0,Q2,2,1,1,1,0,2,2,1,1,0.20486420502285663,9,0.20486420502285663,9
109,47,management,married,university.degree,management,yes,no,cellular,jul,wed,123,1,999,0,nonexistent,-2.9,92.469,-33.6,1.029,5076.2,no,0,Q3,4,2,1,1,0,1,1,1,1,0.29876156315566266,10,0.29876156315566266,10
110,59,admin.,married,university.degree,admin.,yes,yes,cellular,jul,wed,92,1,999,0,nonexistent,-2.9,92.469,-33.6,1.085,5076.2,no,0,Q3,5,2,1,1,0,1,1,1,1,0.3387932722885446,10,0.3387932722885446,10
111,51,blue-collar,married,Basic,blue-collar,yes,yes,cellular,aug,thu,297,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no,0,Q3,5,4,1,1,0,4,4,5,4,0.059694013449457586,5,0.059694013449457586,5
112,31,blue-collar,married,Basic,blue-collar,yes,no,telephone,jun,wed,406,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no,0,Q2,1,5,1,1,0,4,4,3,4,0.027394463042102715,1,0.027394463042102715,1
113,56,management,married,university.degree,management,yes,yes,cellular,nov,wed,104,1,999,1,failure,-0.1,93.2,-42.0,4.12,5195.8,no,0,Q4,5,2,1,5,0,2,2,2,3,0.05851617362995274,5,0.05851617362995274,5
114,39,admin.,married,university.degree,admin.,no,no,telephone,jun,mon,135,2,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no,0,Q2,3,2,1,1,0,4,4,4,4,0.0381898118542572,3,0.0381898118542572,3
115,41,entrepreneur,married,university.degree,entrepreneur,yes,no,cellular,nov,tue,854,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,yes,1,Q4,3,5,1,1,0,2,2,2,3,0.07363745519396261,6,0.07363745519396261,6
